"自動実行","自動実行",
"リリーチェイス","リリーチェイス",
"ーーーーー基本変更点ーーーーー",,
"リリー","Lily",
"\n<\n[3]>ちゅっ♥ちゅぅぅ♥
ほらぁ♥こうして欲しくて覗いてたんでしょ？
れろれろー♥","\n<\n[3]>ちゅっ♥ちゅぅぅ♥
ほらぁ♥こうして欲しくて覗いてたんでしょ？
れろれろー♥","\n<\n[3]>suck♥suuck♥
Come on♥ Isn't this why you were peeping on me?
Liick-♥"
"\n<\n[3]>犯してほしかったんなら
素直に言いなさいよね。
じゅるるう♥れろぉぉ・・・♥","\n<\n[3]>犯してほしかったんなら
素直に言いなさいよね。
じゅるるう♥れろぉぉ・・・♥","\n<\n[3]>If you wanted me to fuck you, 
all you had to was ask.
♥Sluurp...Lick♥"
"\n<\n[3]>ほらぁ♥れろぉ♥
これされると力入らなくなるでしょ？
逃げなくていいのよ。じゅる♥","\n<\n[3]>ほらぁ♥れろぉ♥
これされると力入らなくなるでしょ？
逃げなくていいのよ。じゅる♥","\n<\n[3]>There you go♥ Rub~rub~rub♥
You wanted me to do this, didn't you?
You don't need to run away. Sluurp♥"
"\n<\n[3]>捕まえた♥
じゅるるるる♥れろぉ♥ちゅぅう♥
あはっ♥我慢汁の味♥","\n<\n[3]>捕まえた♥
じゅるるるる♥れろぉ♥ちゅぅう♥
あはっ♥我慢汁の味♥","\n<\n[3]>You're mine♥
Sluurp♥Lick♥Smooch♥
Ahaha♥ Your delicious juice♥"
"\n<\n[3]>なぁに？
ペロペロされたら出ちゃう？
やめようか？れろれろれろ♥","\n<\n[3]>なぁに？
ペロペロされたら出ちゃう？
やめようか？れろれろれろ♥","\n<\n[3]>What's wrong？
If I keep licking it, will you cum?
Do you want me to stop？Slurp, slurp♥"
"\n<\n[3]>んっ♥
出た・・・♥
ちゅるるるる♥","\n<\n[3]>んっ♥
出た・・・♥
ちゅるるるる♥","\n<\n[3]>Ah♥
It's coming out・・・♥
Sluurrrrp♥"
"掃除道具入れ","掃除道具入れ",Cleaning supplies
"もうめぼしい物はない。","もうめぼしい物はない。",There's nothing else to find
"炎","炎",Fire
" <enemy:99><ch:1.5>"," <enemy:99><ch:1.5>",
"灯り 5 3 255 0.3",,
"\n<\n[1]>あっつ！！！","\n<\n[1]>あっつ！！！",\n<\n[1]>Ah！！！
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",,
" <enemy:99><cw:1.5><ch:1.5>"," <enemy:99><cw:1.5><ch:1.5>",
"立体起動","立体起動",3d animation
"<enemy:99>","<enemy:99>",
"EV009","EV009",
"まずい・・・！逃げないと・・・！","まずい・・・！逃げないと・・・！",
"逃走開始","逃走開始",Begin escape
"ヒント","ヒント",Hint
"リリーとシィナに追われながら出口を目指しましょう。
水たまりを踏むとライムに捕まってしまいます。
精力が減った場合は深呼吸スキルやアイテムで回復できます。","リリーとシィナに追われながら出口を目指しましょう。
水たまりを踏むとライムに捕まってしまいます。
精力が減った場合は深呼吸スキルやアイテムで回復できます。","Follow Lily and Shina to the exit.
If you step on a puddle, Lime will catch you.
If your energy is low, you can recover it with deep breathing skills and items."
"攻略を見る","攻略を見る",See hint
"もう十分","もう十分",That's enough for now
