"EV001",""
"\n<アイリン>今は軽量化がONの状態です！",""
"\n<アイリン>今は軽量化がOFFの状態です！",""
"テストを始める",""
"軽量化ON",""
"軽量化OFF",""
"説明を見る",""
"やめておく","Maybe not."
"\n<アイリン>軽量化をONにしました。
説明を見ることをお勧めします。",""
"\n<アイリン>軽量化をOFFにしました。",""
"\n<アイリン>説明ですね！分かりました！
任せてください！",""
"\n<アイリン>軽量化をONにすると
動画の使用量が少し減って動きが多少改善されるかもしれません。
ただし注意点がいくつかあります。",""
"\n<アイリン>ひとつ。
動画の切り替わりで画像がちらつきます。
一瞬だけ表示が変になります。",""
"\n<アイリン>ふたつ。
再生速度が制限されます。
滅茶苦茶に扱いてもある程度の速さにしかなりません。",""
"\n<アイリン>以上の点から少し見辛くなってしまいます・・・
ごめんなさい。",""
"\n<アイリン>なるべく軽くなるように試行錯誤しています。
動作に関して何かありましたらコメントやメッセージを頂けると
とても助かります！",""
"\n<アイリン>全く問題ない場合でも
問題なかったと教えて頂けるだけでとても助かります。
お手数をお掛けしますが御助力を頂けると嬉しいです。",""
"EV002","EV002"
"\n<アイリン>動作のテスト版です！
どんな感じで動くか試してみてください。
重たい場合は軽量化スイッチを使用してみてください。",""
"\n<アイリン>じゃぁ脱いじゃいますね。
失礼します。",""
"EV003","EV003"
"EV004",""
"EV005","EV005"
"MP_SET_MOVIE シャルテスト2",""
"MP_SET_LOOP 5 on","MP_SET_LOOP 5 on"
"てすと",""
"EV006",""
"１",""
"２",""
"３",""
"４",""
"MP_SET_MOVIE シャルテスト",""
"MP_SET_MOVIE test1",""
"MP_SET_MOVIE e2_a1",""
"test","test"
"シィナ","Shina"
"ーーーーー基本変更点ーーーーー","ーーーーーBasic Changesーーーーー"
"\n<\n[3]>捕まえたにゃ！
にゃははは♥
ソッコー搾り取ってやるし♥","\n<\n[3]>I caught you!
Nyahaha♥
I'll wring you dry♥"
"\n<\n[3]>ちんこビンビンにしてどこ行くにゃぁ？
ほら、アタシの手とセックスしてくにゃ♥
ほらほらほらァー♥","\n<\n[3]>Where are you gonna cum-nya?
Look, I can fuck you with my hands-nya.
Look♥ Look♥ Look♥"
"\n<\n[3]>ここ掴まれたらもう終わりにゃぁ？
人間ってバカだもんにゃぁ。","\n<\n[3]>If you're captured here, you're done for aren'nya? 
Humans are stupid-nya."
"\n<\n[3]>ひょっとしてわざと捕まったにゃぁ？
ほれほれ。
素直になっていいにゃぁ～？","\n<\n[3]>Maybe you got caught on purpose?
Hey, look.
Isn't it okay to be honest?"
"\n<\n[3]>あーぁ♥もうダメにゃぁ♥
イクイクイクーって震えてるし♥
負けろ負けろー♥","\n<\n[3]>Aww♥ You're done for-nya♥
You're shaking so hard, about to cum♥
Give in, give in♥"
"\n<\n[3]>にゃっは♥もうイったにゃ♥
ハンターの癖にソーローにゃぁ。
床が汚れちゃったにゃぁ？","\n<\n[3]>にゃっは♥もうイったにゃ♥
ハンターの癖にソーローにゃぁ。
床が汚れちゃったにゃぁ？"
"\n<\n[3]>あーむ♥
頂きにゃぁ♥
じゅるるる♥","\n<\n[3]>あーむ♥
頂きにゃぁ♥
じゅるるる♥"
"\n<\n[3]>じゅるるるる♥
気持ちよくて動けないにゃぁ？
そのままじっとしてろにゃ♥","\n<\n[3]>Sluuurp♥
It feels so good that you can't move?♥
 Then just stay still♥"
"\n<\n[3]>ほら出せ♥
れろれろれろぉ♥
ぜーんぶ飲み干してやるし♥","\n<\n[3]>Hey, look!♥
Flick,flick, flick♥
I'll drink it allll up♥"
"\n<\n[3]>アタシに食べられたくて待ってたにゃ？
にゃは♥
その顔見れば分かるし♥じゅる♥","\n<\n[3]>Are you waiting for me to swallow it down?
Nyaha♥
I can tell just by looking at your face♥ Shlurrrrp♥"
"\n<\n[3]>お前の精子アタシのお腹で溶かして殺してやるにゃ♥
じゅるるるる♥","\n<\n[3]>I'll melt your sperm inside my stomach, and then I'll kill you ♥
Shlurrrp♥"
"\n<\n[3]>んにゃぁ・・・♥
お前の負けにゃ♥
ばーーーーか♥","\n<\n[3]>Nyaa♥
You lose♥
Mor---on♥"
"\n<\n[3]>捕まえたし！
美味しそーな匂いだにゃぁ♥","Now I've got it!
It smells delicious♥"
"\n<\n[3]>ちんこビンビンにしてどこ行くにゃぁ？
ほら、アタシのほっぺとセックスしてくにゃ♥
ぐりぐりー♥","\n<\n[3]>Where is your throbbing dick gonna come?
Have sex with my cheeks♥
Rub, rub ♥"
"\n<\n[3]>イクまで逃がさないにゃぁ♥","\n<\n[3]>I won't let you go until you come ♥"
"\n<\n[3]>ひょっとしてわざと捕まったにゃぁ？
だってもうこんなにカッチカチにゃ。
コレどーして欲しいにゃ？","\n<\n[3]>Maybe you got caught on purpose♥
You're so hard down there.
Do you actually *want* me to do this?"
"\n<\n[3]>にゃぁ？
ほっぺすりすりしただけで出すにゃ？","\n<\n[3]>Nyaa?
Should I just rub it on my cheeks?"
"\n<\n[3]>にゃっは♥
死にかけの虫みたいにビクビクして面白いにゃぁ♥
アタシもうずうずしてくるし♥","Nyaha♥
You're funny, like a little dying bug♥
I'm tingling all over♥"
"EV008",""
"--------キャラ指定-----座標設定------------",""
"----------------------------------------",""
"果物ナイフか・・・
一応武器として使えるかもしれない。","A fruit knife...?
I might be able to use this as a weapon."
"\n<\n[3]>何してるのー？
ねーねー。","\n<\n[3]>何してるのー？
ねーねー。"
"\n<\n[3]>私ちょっとお腹空いてきちゃったー。
少しでいいから精液飲ませてほしいなー♥","\n<\n[3]>""I'm a little hungry.
It's okay to drink your semen, if it's just a little.♥"""
"\n<\n[3]>\n[1]ー♥こっち見てー♥","\n<\n[3]>\n[1]-♥ Lookie here-♥"
"ーーーーー待機or攻撃アニメSE選択ーーーーー",""
"--------ここから誘惑------------",""
"\n<\n[3]>おっぱいでおちんちん挟んで
ぬるぬるしてあげるからー♥
おいでよー♥","\n<\n[3]>Put it between my boobs
I'll make you all slimy ♥
Come on♥"
"\n<\n[3]>にゅるん♥にゅるん♥って動かしてー、
おちんちんカチカチにしてあげるよー？
にゅるん♥にゅるーん♥","\n<\n[3]>Schlorp♥ Schlorp♥ Come on, keep moving,
I'm making your cock hard, right?
Schlorp♥"
"\n<\n[3]>おっぱいでいじめられるの想像しちゃったー？
足が震えてきてるよー？
くすっ♥","\n<\n[3]>おっぱいでいじめられるの想像しちゃったー？
足が震えてきてるよー？
くすっ♥"
