"愛撫","Caress",
"の攻撃！"," attacked!",
"スキル１番は［攻撃］コマンドを
選択したときに使用されます。","スキル１番は［攻撃］コマンドを
選択したときに使用されます。",
"防御","Defend",
"は身を守っている。"," defended their body.",
"スキル２番は［防御］コマンドを
選択したときに使用されます。","スキル２番は［防御］コマンドを
選択したときに使用されます。",
"連続攻撃","連続攻撃",
"２回攻撃","２回攻撃",
"３回攻撃","３回攻撃",
"逃げる","Escape",
"は逃げてしまった。"," escaped.",
"様子を見る","様子を見る",
"は様子を見ている。"," watches intently.",
"ヒール","ヒール",
"なんやかんやのアレでめちゃめちゃ回復する
すげー魔法","Stupid weird magic that heAlsto like nobody's business.",
"は%1を唱えた！"," casted %1!",
"ファイア","ファイア",
"あーちーちーあーちー燃えてるんだろうか","あーちーちーあーちー燃えてるんだろうか",
"スパーク","スパーク",
"スパーキン！","スパーキン！",
"切る！","切る！",
" <bulletAnime:201>"," <bulletAnime:201>",
"～～敵の攻撃～～～～","～～敵の攻撃～～～～",
"手コキ","手コキ",
"はゆっくりと手で弄んできた！"," slowly teases your penis with her hand!",
"手コキ2","手コキ2",
"は手で扱いてきた！"," strokes your penis with her hand!",
"手コキ3","手コキ3",
"は手で激しく扱いてきた！"," quickly jerks you off with her hand!",
"手コキ4","手コキ4",
"は手で滅茶苦茶に扱いてきた！"," violently pumps your penis with her hand!",
"手コキ5つつく","手コキ5つつく",
"は指でペニスをつついてきた・・・"," presses her fingers against your penis...",
"手コキ強く握る","手コキ強く握る",
"はペニスを強く握り乱暴に扱いた！！"," grips your shaft, furiously pumping it up and down!!",
"手コキ握りつぶす","手コキ握りつぶす",
"はペニスを握りつぶしながら"," jerks you as if trying to break your shaft",
"千切れそうなほど扱きあげた！！","while clutching your penis!",
"足コキ","足コキ",
"はゆっくりと足で弄んできた！"," uses her foot to slowly play with your penis!",
"足コキ2","足コキ2",
"は足で扱いてきた！"," strokes your penis with her foot!",
"足コキ3","足コキ3",
"は足で激しく扱いてきた！"," violently jerks your penis with her foot!",
"足コキ4","足コキ4",
"は足で滅茶苦茶に扱いてきた！"," furiously pumps your penis with her foot!",
"キス","キス",
"はキスしてきた！"," is kissing you!",
"ドレインキス","ドレインキス",
"のドレインキス！","'s draining kiss!",
"<DE_上限突破>","<DE_上限突破>",
"激しくキス","激しくキス",
"は唇に貪り付いてきた！"," lustfully merges her lips with yours!",
"舌をねじ込む","舌をねじ込む",
"は長い舌を喉奥までねじ込んできた！"," thrusts her tongue into you mouth, swirling it around!",
"脇コキ","脇コキ",
"はペニスを脇で扱いてくる・・・"," is stroking your penis with her armpit...",
"脇コキ2","脇コキ2",
"は脇でペニスを扱いた！"," stroked your penis with her armpit!",
"脇コキ3","脇コキ3",
"の汗ばんだ脇で扱かれる！","'s sweaty armpit is stroking your penis!",
"脇締め","脇締め",
"は脇をぎゅっと締め付けた！"," tightens your armpit around you!",
"ベロチュー","ベロチュー",
"のベロチュー攻撃！","'s deep kiss attack!",
"誘惑","誘惑",
"は身体をくねらせて見せつけた！"," sensually sways her body in front of you!",
"は顔に脇を押し付けて来た！"," pressed her armpit against your face!",
"は胸で顔を挟み込んできた！"," wrapped her boobs around your face!",
"舐めまわし","舐めまわし",
"は顔中を舐めまわしてきた！"," licked your face all over!",
"腰振り弱","腰振り弱",
"はゆっくりと腰を振ってきた！"," slowly rocks her hips back and forth!",
"腰振り中","腰振り中",
"は腰を振ってきた！"," began swinging her hips against you!",
"腰振り締め付け","腰振り締め付け",
"は膣をきゅっと締めてきた！"," tightly squeezes her pussy around your dick!",
"腰振り叩きつけ","腰振り叩きつけ",
"は滅茶苦茶に腰を叩きつけて来た！！"," wildly slaps her hips against yours!!",
"吸い尽くす","吸い尽くす",
"は吸い尽くした！"," steAlsto your breath with a kiss!",
"腰振り強","腰振り強",
"は激しく腰を振ってきた！"," violently shakes her hips!",
"挿入大ダメージ","挿入大ダメージ",
"はゆっくりと腰を下ろした・・・"," slowly lowered her hips...",
"挿入","挿入",
"誘われ腰振り","誘われ腰振り",
"に誘われるがまま腰を振った・・・"," tempts you as you grind hips against hers...",
"膣反動ダメージ","膣反動ダメージ",
"の膣が絡みついてくる・・・！","'s pussy constricts around you...!",
"スロー腰振り","スロー腰振り",
"の膣内でペニスが甘く溶かされる・・・","'s vagina sweetly melts your penis...",
"誘惑（胸見せ","誘惑（胸見せ",
"は胸を見せて誘惑してきた・・・"," seductively shows you her boobs...",
"誘惑2（身体見せ","誘惑2（身体見せ",
"の身体から目が離せない・・・","'s body is so sexy you can't look away...",
"誘惑3（くねらせ","誘惑3（くねらせ",
"はいやらしく身体をくねらせた・・・！"," sways her lewd body before your eyes...!",
"誘惑4（誘惑","誘惑4（誘惑",
"の誘惑に興奮を高められる・・・！","'s seduction is stroking your arousal...!",
"誘惑手コキ見せつけ","誘惑手コキ見せつけ",
"は扱くふりをして誘惑してきた・・・"," seduces you by showing off stroking motions...",
"ユイネ何もしない","ユイネ何もしない",
"は息を荒げている・・・"," is breathing heavily...",
"ユイネ何もしない2","ユイネ何もしない2",
"は顔を赤らめている・・・"," is blushing...",
"腰ぐりぐり","腰ぐりぐり",
"は腰をぐりぐりと回してきた・・・"," grinds and swings her hips in circles...",
"胸揉み","胸揉み",
"は胸を揉んできた！"," massages her boobs around your penis!",
"乳首を弄る","乳首を弄る",
"は乳首を弄ってきた！"," plays with your nipples!",
"お腹を舐める","お腹を舐める",
"はお腹を舐めてきた！"," licks your stomach!",
"抱き着き","抱き着き",
"はぎゅっと抱き着いてきた！"," clings to you tightly!",
"フェラ","フェラ",
"はペニスを口で咥えてきた！"," is holding your penis in her mouth!",
"フェラ2","フェラ2",
"のフェラチオ攻撃！","'s fellatio attack!",
"フェラ3","フェラ3",
"はペニスを激しく舐めてきた！"," violently licks your penis!",
"フェラ4","フェラ4",
"はペニスに吸いつき舐めまわしてきた！"," sucks and rolls her tongue around your penis!",
"舐める","舐める",
"はペニスを舐めまわしてきた！"," licks your penis with her tongue!",
"触手吸いつき","触手吸いつき",
"は睾丸から直接精液を吸い取った！"," drained semen directly from your balls!",
"触手吸いつき2","触手吸いつき2",
"は触手で尿道を犯してきた！！"," raveges your urethra with her tentacles!!",
"触手吸いつき3","触手吸いつき3",
"の触手に精を吸い出される・・・","'s tentacles are draining your energy...",
"触手吸いつき4","触手吸いつき4",
"の搾精器官に吸いつかれる・・・！","'s semen draining organ latches to your groin...!",
"パイズリ","パイズリ",
"はゆっくりとパイズリしてきた・・・"," slowly rolls her boobs around your dick...",
"パイズリ2","パイズリ2",
"のパイズリ攻撃！","'s paizuri attack!",
"パイズリ3","パイズリ3",
"は激しく胸で扱いてきた！"," violently pumps her boobs around your shaft!",
"パイズリ4","パイズリ4",
"の胸でもみくちゃにされる！！"," massages her boobs around your penis!!",
"パイズリぎゅー","パイズリぎゅー",
"はぎゅーっと挟み潰してきた！"," smooshes and squeezes your dick between her boobs!",
"谷間の百合","谷間の百合",
"は胸でペニスを挟み先っぽを舐めて来た！"," licks the tip of your penis while between her tits!",
"ダブルフェラ","ダブルフェラ",
"フェラパイズリ2人","フェラパイズリ2人",
"の胸と舌でペニスを弄ばれる！","'s breasts and tongue play with your penis!",
"2人挟み撃ち","2人挟み撃ち",
"の間にペニスが挟み込まれる！"," inserts your penis between her cleavage!",
"乳首を吸う","乳首を吸う",
"は誘惑してきた！"," seduces you!",
"パイ絶頂締め付け","パイ絶頂締め付け",
"太ももコキ","太ももコキ",
"は太ももに挟んできた！"," inserts your penis between her thighs!",
"太ももコキ2","太ももコキ2",
"は太ももで激しく扱いてきた！"," violnetly pumps her thighs around your penis!",
"太ももコキ3","太ももコキ3",
"は脚をきゅっと圧迫しながら"," firmly strokes your dick while ",
"ペニスを強く扱きあげた！","squeezing her legs around your penis!",
"腰振りバック4","腰振りバック4",
"貧乳パイズリ","貧乳パイズリ",
"は小さな胸を擦り付けてきた・・・"," rubs her tiny boobs against you...",
"貧乳パイズリ2","貧乳パイズリ2",
"は乳首を擦り付けてきた！"," brushes her nipples against your body!",
"貧乳パイズリ3","貧乳パイズリ3",
"はぐりぐりと胸を押し付けて来た！"," grinds her boobs against your body!",
"バック","バック",
"バック2","バック2",
"は激しく腰を振った！"," violently shakes her hips!",
"バック3","バック3",
