"梅尔蒂布雷夫",""
"爱抚。",""
"胸","Breasts"
"阿索科",""
"尻","Ass"
"接吻",""
"日语",""
"请选择您的语言。 Choose 您的语言.* 自动翻译。 ",""
"英语",""
"简体中文",""
"韩文",""
"～敵基本属性～",""
"人","Person"
"邪恶/埃纳德雷",""
"男主人公",""
"选择英雄。",""
"女主人公",""
"水/乳液",""
"风/风工作",""
"昆虫/纱线",""
"草/触手",""
"机器/奥纳霍",""
"显示",""
"你想展示主人公的站立画吗？ （您可以随时更改效果。",""
"不显示",""
"～主人公用～",""
"手工作",""
"足部工作",""
"在战斗中显示英雄的动画？",""
"吹",""
"性别",""
"屁股工作 / 肛门",""
"接吻/诱惑",""
"侧/前列腺/其他",""
"- 杂鱼敌人属性 -",""
"斩击",""
"打击",""
"炎","Flame"
"很久以前，世界上有四个大国。",""
"火国，水国，风之国，雷鸣之国。 有一个正式的名字，但没关系。",""
"火民是光明和热情的，最重要的是珍惜他们的同伴。 水民把公平作为美德，有遵守纪律的正确性。",""
"风的人是仁慈的，平静的，热爱自然，与自然一起生活。 闪电的人聪明地在闪光中，用他的智慧制造了一台机器。",""
"是什么促使你，谁开始并不重要。",""
"武器","Weapon"
"人们不能接受不同的东西。 当然，冲突是发生。",""
"他为自己排了另一个人，正义被压在了身上，怜悯造成了悲剧，机器成了杀人的工具。",""
"几代人来，人们继续减少这个数字。 每个人都真诚地祈祷""每一个""的和平。",""
"戒指",""
"装饰",""
"其他",""
"\n<ムー>月日流淌，人们甚至忘记了互相残杀的原因。",""
"\n<ムー>突然进入世界...",""
"敌人的技能",""
"投掷。",""
"\n<ムー>嘿 既然你有空，就告诉你一些事了。 不要一边走一边睡觉。 灵巧。",""
"\n<ムー>更有趣的故事？ 当然... 在黑暗的森林里谈论黑暗只会让我失望。",""
"食品",""
"<ムー>。 现在，让我们来谈谈你吃过的东西中最不美味的东西。",""
"\n<ムー>只是提醒我，我恶心。 那是烤橡木的佩...",""
"\n<ムー>... 我看见一盏灯。",""
"仅限艾琳",""
"\n<ムー>终于到了。 已经很晚了。",""
"两个",""
"男士",""
"\n<ムー>... 旅馆就在那儿。",""
"\n<ムー>即使流石的湿，你也累了吗？ 我今天可以睡在蒲团里。 很好",""
"仅限基安蒂",""
"自定义零件",""
"级别",""
"\n<女将>哦！ 如果你认为某人在这样的时间，你是不是一个勇敢的人！ 你怎么样了？",""
"\n<ムー>深夜。 你还有多余的房间吗？",""
"\n<女将>那里有足够的空间♥请！ 请留下来♥所以把你的名字放在旅馆的帐本上...",""
"Sp",""
"锡安",""
"体力","HP"
"惠普",""
"Tp",""
"\n<ムー>一段时间，你可能会照顾。 客栈...",""
"经验值",""
"\n<女将>这样！ 从勇敢的人，没有客栈！ 哦，你太累了！ 把行李放在你的房间里！",""
"Exp",""
"\n<女将>慢♥",""
"\n<女将>，龙先生会下床吗？ 我能带一条毯子还是别的什么？",""
"\n<ムー>不。 我睡觉时不在这里，所以没关系。",""
"""<女将>？",""
"\n<ムー>，我该说什么？ 就像一个召唤的野兽，俗话说。 睡觉时，你回到那边。",""
"\n<女将>那边？ 我明白了。 你想吃米饭吗？",""
"我想吃<ムー>\ n。",""
"<女将> ♥",""
"设备",""
"\n<ムー>我吃了一顿饭。 对待你",""
"\n<ムー>。 你想看看旅馆吗？",""
"• 操作说明方向：移动 Ctrl：跳过消息",""
"取消键：打开菜单的决定键长按：快进 SHIFT：短划线/步行",""
"游戏结束",""
"选项",""
"最强的设备",""
"全部移除",""
"穆",""
"康蒂纽",""
"到标题",""
"停止",""
"购买",""
"他们卖",""
"最大HP","Max HP"
"最大MP","Max MP"
"攻击力",""
"防御","Defend"
"技巧","Technique"
"精神力","Willpower"
"敏捷性","Speed"
"战斗力",""
"命中率",""
"避免率",""
"对 %1 不起作用！",""
"%1 损坏了 %2！",""
"%1 被吸了 %2 %3！",""
"%1 %2 增加 %3！",""
"%1 %2 减少 %3！",""
"%1 没有损坏！",""
"小姐！　%1 没有损坏！",""
"%1 %2 恢复 %3！",""
"始终短划线",""
"BGM 音量",""
"BGS 音量",""
"%1 %2 上升！",""
"%1 %2 已恢复原位！",""
"命令存储",""
"反击%1！",""
"疼痛的打击！！",""
"一击的心灵！！",""
"%1 %2 下降！",""
"%1输掉了比赛。",""
"%1 出现！",""
"伤害 %2 %1 ！",""
"%1 %2 吸 %3！",""
"%1 不会造成伤害！",""
"小姐！　%1 不会造成伤害！",""
"但我逃不掉！",""
"\n<冒険者>？ 哦，你有传言说，当然，这是一把大剑来划分你的身体。",""
"\n<ムー>说最好小一点。 似乎大一点是好的。",""
"大的很酷",""
"大暨小",""
"当前 %1",""
"文件",""
"\n<ムー>这听。 哦，我的天",""
"%1 上升到 %2 %3！",""
"\n<冒険者>好！ 我喜欢那种东西。 武器是九成，你喜欢它的外观。",""
"\n<冒険者>我住在隔壁房间。 你会呆一会儿，是吗？ 很高兴见到你。",""
"%1抵消了魔法！",""
"%1反弹魔术！",""
"ME 音量",""
"赚取 %1 %2！",""
"我拿到钱了！1\G！",""
"我拿到%1了！",""
"我学会了%1！",""
"有多少",""
"%1 领先！",""
"您要保存哪些文件？",""
"SE 音量",""
"%1 已获取 %2！",""
"%1 出乎意料！",""
"%1 使用 %2！",""
"%1 赢！",""
"梦想中的流浪者",""
"炼金术士",""
"治安维持者",""
"神秘女孩",""
"勇者",""
"材料保护技能",""
"巴哈姆托",""
"\n<ムー>我已经说过很多次，如果我潜入我的怀抱，我将无法反应。",""
"攻击",""
"\n<冒険者>狂野。 我想看一次战斗。",""
"攻击！",""
"在保护自己。",""
"连续攻击",""
"两次攻击",""
"三次攻击",""
"逃跑",""
"已经逃跑了",""
"观看",""
"正在观察。",""
"脚跟",""
"什么水壶会恢复混乱
魔法",""
"唱%1！",""
"火",""
"哦，我烧了它",""
"火花",""
"斯帕金！",""
"切断！",""
"\n<女将>从勇敢的人那里拿钱是荒谬的！ 旅馆的名字也会出售，所以请留下来，不要介意♥",""
"你得说！",""
"我不知道该怎么办。",""
"- 敌人攻击 - - - -",""
"慢慢地，我用手舔了舔它！",""
"\n<ムー>不要太高兴。 你似乎是个卑鄙的人",""
"手工作 2",""
"\n<女将>我不介意吃饭♥明天晚餐会摇摇手臂♥♥它是免费的♥♥",""
"我用手处理它！",""
"手工作 3",""
"\n<ムー>，所以不要看起来快乐。",""
"我用手严厉地对待它！",""
"手工作 4",""
"我用手处理了一些令人心毁的苦苦！",""
"手工作 5",""
"他用手指把鸡巴放在...",""
"手工作紧握",""
"我紧紧地抓住我的鸡巴，并疯狂地对待它！！",""
"让我们<ムー>吧， 相反，如果在这个村子里能做一份工作，我会帮你的。",""
"\n<女将>请稍后写一个签名♥这是一个英雄认可的住宿！ ♥",""
"\n<ムー>感觉好像我好像在高高。 ・・・",""
"\n<女将>英雄的房间是作为英雄之间的特色♥",""
"慢慢地，我慢慢地用脚在浴缸里！",""
"足部工作 2",""
"我一直在用脚治疗它！",""
"足部工作 3",""
"我用脚狠狠地对待它！",""
"足部工作 4",""
