"回想部屋","Recollection Room"
"回想猫","Recollection Cat"
"\n<回想猫>やぁ。ここは回想部屋だよ！","\n<Recollection Cat>Hi. This is the recollection room!"
"回想部屋について","About the recollection room"
"アイテムを売ってほしい","I want to sell items"
"全開放したい","I want to unlock everything"
"雑談しよう","I want to talk"
"何でもない","Nothing"
"\n<回想猫>回想部屋は倒したことのある敵と対戦したり
イベントを見たりすることが出来るよ。","\n<Recollection Cat>In the recollection room, you can fight enemies
you have defeated.
You can also watch past events."
"\n<回想猫>ここにはお金やアイテムは持ってこれないし
持って出られないようになってるからね。
装備は持って入れるから普通に好きにしてね！","\n<Recollection Cat>You can't bring money or items here.
Since you can't take anything with you,
I'll provide all the equipment you need, so just do what you'd like!"
"\n<回想猫>ここで負けても本編には一切関係なし！
敵を倒しても普通にドロップもお金もなし！
レベルも出ると元に戻るよ！","\n<Recollection Cat>If you lose here, it will not affect the main story!
If you defeat an enemy, there will be no drops or money!
Any lost levels will be returned!"
"\n<回想猫>回想の全開放も出来るけど
まずは本編を普通にクリアしてほしいな！
思い入れがあると少し違うと思うの！","\n<回想猫>You can also unlock everything, but...
I think you should clear the main story first!
I think it feels a little different and more satisfying when you do so!"
"消耗品","Consumable goods"
"淫具","Dildo"
"ゴム","Condom"
"指輪","Ring"
"装飾品","Decoration"
"\n<回想猫>おっけー！
でもここで買ったものは普通に持って出られないからねー。","\n<Recollection Cat>Okay~!
But you can't bring anything you buy outside of this room~."
"\n<回想猫>ほいほーい！
じゃもっかいやるねー。
ふーん！","\n<Recollection Cat>Okaaaay!
Then I'll do it again.
Hmm!"
"\n<回想猫>またやってほしかったら言ってねー！","\n<Recollection Cat>If you want me to do it again, let me know!"
"\n<回想猫>先に本編をプレイして集めた方が楽しめると思うけど
解放しても大丈夫？
全開放すると普通にここから出られなくなるから注意してね。","\n<回想猫>I think you'll enjoy it more if you unlock them by playing
the main story but...is it really okay to unlock everything?
You won't be able to leave if you do, so be careful."
"全部解放してほしい","I want to unlock everything"
"やっぱりやめておく","Actually, I don't want to do it"
"\n<回想猫>念のためにもっかいだけ聞くよー。
全開放してもいいー？","\n<Recollection Cat>Just in case, I'll ask again.
Do you want to unlock everything?"
"いいよ！","Okay!"
"\n<回想猫>おっけー！
じゃあここで永遠の快楽を楽しもう！","\n<Recollection Cat>Okay!
Then enjoy eternal pleasure here!"
"\n<回想猫>ほい！おわり！
あっけなかった？じゃあもうここから出られないからね！
今後ともよろしく！","\n<Recollection Cat>Hoi! It's done!
Was it disappointing? Then you can't leave from here anymore!
Best of luck from now on!"
"\n<回想猫>気が変わったらまた言ってね。","\n<Recollection Cat>If you change your mind, let me know."
"\n<回想猫>負けられない理由がある方が
えっちだよね。","\n<回想猫>負けられない理由がある方が
えっちだよね。"
"\n<回想猫>あ、そうそう！
武器とか防具とかも普通に買えるようになってるからねー。
見てってちょ。","\n<回想猫>あ、そうそう！
武器とか防具とかも普通に買えるようになってるからねー。
見てってちょ。"
"\n<回想猫>前作までの煽ってくる猫はクビになったよ。
またたびも没収しといたから。","\n<回想猫>前作までの煽ってくる猫はクビになったよ。
またたびも没収しといたから。"
"出口","出口"
"もういいかな・・・","もういいかな・・・"
"回想部屋を出る","回想部屋を出る"
"もう少し思い出す","もう少し思い出す"
"EV003","EV003"
"レベルアップくん","レベルアップくん"
"レベルを操作出来ます。","レベルを操作出来ます。"
"上げる","上げる"
"下げる","下げる"
"やめる","Stop"
"トルテ","トルテ"
"トルテ　逃走イベント","トルテ　逃走イベント"
"回想","回想"
"やめておく","やめておく"
"トルテ　ボスバトル
通常敗北　誘惑敗北　童貞敗北　必殺敗北","トルテ　ボスバトル
通常敗北　誘惑敗北　童貞敗北　必殺敗北"
"トルテ　誘惑イベント","トルテ　誘惑イベント"
"シープ","シープ"
"シープ　誘惑イベント","シープ　誘惑イベント"
"シープ　ゴール時誘惑イベント","シープ　ゴール時誘惑イベント"
"シープ　ボスバトル
通常敗北　必殺敗北　誘惑敗北","シープ　ボスバトル
通常敗北　必殺敗北　誘惑敗北"
"キルシュ","キルシュ"
"キルシュ　ボスバトル
通常敗北　童貞敗北　誘惑敗北　必殺敗北","キルシュ　ボスバトル
通常敗北　童貞敗北　誘惑敗北　必殺敗北"
"トルテ&キルシュ　chapter4-1体力0","トルテ&キルシュ　chapter4-1体力0"
"シィナ","Shina"
"シィナ　誘惑イベント","シィナ　誘惑イベント"
"シィナ　ボスバトル
通常敗北　童貞敗北","シィナ　ボスバトル
通常敗北　童貞敗北"
"ローズ","ローズ"
"ローズ　chapter5-1エイミー体力0","ローズ　chapter5-1エイミー体力0"
"ローズ　ボスバトル
通常敗北　誘惑敗北（敵イク間際）","ローズ　ボスバトル
通常敗北　誘惑敗北（敵イク間際）"
"サキュバス","サキュバス"
"サキュバス　チャプター3誘惑イベント","サキュバス　チャプター3誘惑イベント"
"サキュバス　食べられる","サキュバス　食べられる"
"サキュバス（黒目）　食べられる","サキュバス（黒目）　食べられる"
"サキュバス　アソコに飲み込まれる","サキュバス　アソコに飲み込まれる"
"サキュバス　全身パイズリ","サキュバス　全身パイズリ"
"サキュバス　ボスバトル
通常敗北　必殺敗北　童貞敗北","サキュバス　ボスバトル
通常敗北　必殺敗北　童貞敗北"
"リリス","リリス"
"リリス　チュートリアル","リリス　チュートリアル"
"リリス　誘惑イベント","リリス　誘惑イベント"
"リリス　1回戦目
通常敗北　必殺敗北","リリス　1回戦目
通常敗北　必殺敗北"
"リリス（裸）　2回戦目
通常敗北　必殺敗北　童貞敗北　誘惑敗北","リリス（裸）　2回戦目
通常敗北　必殺敗北　童貞敗北　誘惑敗北"
"クラスタ","クラスタ"
"クラスタ　雑魚バトル1","クラスタ　雑魚バトル1"
"クラスタ　雑魚バトル2","クラスタ　雑魚バトル2"
