"Melty Brave",""
"爱抚。",""
"胸","Breasts"
"小穴",""
"屁股",""
"接吻",""
"日语",""
"请选择您的语言。*简中由张三包尝试翻译，除日语与简中外都是机翻 ",""
"英语",""
"简体中文",""
"韩文",""
"～敵人的基本属性～",""
"人","Person"
"恶/能量吸取",""
"男主人公",""
"请选择主人公。",""
"女主人公",""
"水/润滑液",""
"风/风交",""
"虫/丝",""
"草/触手",""
"机器/飞机杯",""
"显示",""
"你想显示主人公的立绘吗？ （您可以随时更改设置。)",""
"不显示",""
"～主人公用～",""
"手交",""
"足交",""
"在战斗中显示主人公的动画？",""
"口交",""
"做爱",""
"屁股摩擦 / 肛交",""
"接吻/诱惑",""
"腋下/前列腺/其他",""
"~杂鱼敌人属性~",""
"斩击",""
"打击",""
"炎","Flame"
"很久很久以前，这个世界上有四个大国。",""
"火之国，水之国，风之国，雷之国。 虽然也有正式的名字···但不提也罢。",""
"火之国的人们开朗热情并且非常珍惜他们的同伴。 水之国的人们以公平为美德并非常遵守纪律。",""
"风之国的人们慈悲、平和、热爱自然并与生活在其中。雷之国的人们聪明伶俐并用其智慧创造除了机器 。",""
"由什么契机或由谁开始并不重要。",""
"武器","Weapon"
"人们无法接受【异物】。 所以就像理所当然的那样，冲突发生了。",""
"为了排除异己，正义被强加于人，怜悯酿造了悲剧，机器成为了杀人的道具。",""
"自那之后过去了几代人，人类的数量在不停的减少。大家都在心里祈祷着和平。",""
"戒指",""
"装饰",""
"其他",""
"\n<穆>岁月流逝，人们甚至忘记了互相残杀的原因・・・",""
"\n<穆>突然世界就··· ···牟？",""
"敌人的技能",""
"投掷。",""
"\n<穆>喂。 明明是你觉得太闲了要我说些什么的。 不要一边走路一边睡觉。 真灵巧啊。",""
"\n<穆>更有趣的故事吗？ 唔姆···确实。 在黑暗的森林里讲黑暗的故事也只会让人更消沉。",""
"食物",""
"\n<穆> 对了。那么···让我来给你说说我吃过的食物中最难吃的东西。",""
"\n<穆>是兽人的鸡・・・光是想想就想吐・・・",""
"\n<穆>牟... 我看到灯光了。",""
"爱琳专用",""
"\n<穆>终于到了。 时间已经很晚了呢。",""
"两用",""
"男性用","Men Only"
"\n<穆>唔姆... 旅馆就在那儿。",""
"\n<穆>就算是你也应该很累了吧？ 今天能好好地在被窝里睡觉了呢。 太好了",""
"仅限基安蒂",""
"自定义部件",""
"等级",""
"\n<女掌柜>唉呀！！ 都这个时间了还在猜是谁呢，这不是勇者大人嘛！ 有什么需要的吗？",""
"\n<穆>这么晚打扰您真是抱歉。请问还有剩余的房间吗？",""
"\n<女掌柜>那边的房间是空着的♥请好好地休息吧！♥那么请把名字写在登记簿上...",""
"Sp",""
"诗音",""
"体力","HP"
"HP","HP"
"TP","TP"
"\n<穆>可能需要住一段时间呢。 住宿费是...",""
"经验值",""
"\n<女掌柜>不用不用！收勇者大人的住宿费什么的！ 来来，已经很累了吧！ 先把行李放到房间里吧！",""
"EXP","EXP"
"\n<女掌柜>那么请您随意♥",""
"\n<女掌柜>啊，龙先生是在床上睡觉的吗？ 需要我拿条毯子什么的过来吗？",""
"\n<穆>不。 我不在这里睡觉所以没关系的。",""
"\n<女掌柜>・・・？",""
"\n<穆>怎么说呢， 简单来说就像召唤兽一样，睡觉的时候要回到另一边。",""
"\n<女掌柜>另一边？··· 我明白了。 要吃饭吗？",""
"\n<穆>想吃！",""
"\n<女掌柜>好的~♥",""
"装备",""
"\n<穆>咕··· 吃饱了吃饱了。多谢款待。",""
"\n<穆>那么。 想参观下旅店吗？",""
"• 操作说明   方向键：移动    Ctrl：跳过消息",""
"取消键：打开菜单      长按确认键：快进      SHIFT：冲刺/步行",""
"游戏结束",""
"选项",""
"最强装备",""
"全部移除",""
"穆",""
"继续",""
"回到标题",""
"停止",""
"购买",""
"卖出",""
"最大HP","Max HP"
"最大MP","Max MP"
"攻击力",""
"防御力",""
"技巧","Technique"
"精神力","Willpower"
"敏捷性","Speed"
"战斗力",""
"命中率",""
"回避率",""
"对%1不起作用！",""
"%1受到了%2点伤害！",""
"%1被%2吸取了%3！",""
"%1的%2增加了%3！",""
"%1的%2减少了%3！",""
"%1没有受到伤害！",""
"闪避！　%1没有受到伤害！",""
"%1的%2恢复了%3！",""
"始终冲刺",""
"BGM 音量",""
"BGS 音量",""
"%1的%2提升了！",""
"%1的%2恢复到了原来的样子！",""
"指令记忆",""
"%1的反击！",""
"痛恨一击！！",""
"会心一击！！",""
"%1的%2下降了！",""
"%1战败了。",""
"%1出现了！",""
"对%1造成了%2的伤害 ！",""
"%1的%2被吸取了%3！",""
"无法对%1造成伤害 ！",""
"闪避！　无法对%1造成伤害 ！",""
"但是没有挣脱！",""
"\n<冒险者>嗯？啊啊，你就是传说中的···原来如此，确实是一把比身体大得多的大剑呢。",""
"\n<穆>说了稍微小一点的比较好。但是无论怎样都喜欢大的。",""
"大的很酷",""
"大的包括了小的",""
"当前的%1",""
"文件",""
"\n<穆>说了也不听。 真是的。",""
"%1上升了%2%3！",""
"\n<冒险者>不错呢！ 我喜欢那样的。 武器什么的直接看上眼的有九成呢。",""
"\n<冒险者>我住在隔壁房间。 你会在这停留一段时间对吧？ 多多指教啊。",""
"%1抵消了魔法！",""
"%1反弹了魔术！",""
"ME 音量",""
"获得了%1的%2！",""
"获得了%1\G的钱！",""
"拿到了%1 ！",""
"学会了%1 ！",""
"%1们",""
"持有的数量",""
"%1 取得了先手！",""
"您要保存到哪个文件？",""
"SE 音量",""
"%1保护了%2！",""
"%1被偷袭了！",""
"%1使用了%2！",""
"%1的胜利！",""
"梦中的神秘人",""
"炼金术士",""
"自警团员",""
"迷之少女",""
"勇者",""
"素材保护用技能",""
"巴哈姆特",""
"\n<穆>跟他说过很多次，如果被闯进怀里的话就什么都做不了了。",""
"攻击",""
"\n<冒険者>好狂热啊。 真想看看你战斗的样子。",""
"的攻击！",""
"防御","Defend"
"在保护自己。",""
"连续攻击",""
"两次攻击",""
"三次攻击",""
"逃跑",""
"逃跑了",""
"观察",""
"在观察。",""
"回复",""
"这样那样的回复了不少
好厉害的魔法",""
"咏唱了%1！",""
"小火花",""
"啊-好烫-好烫-是不是在烧啊",""
"火花",""
"火花四溅！",""
"斩！",""
"\n<女掌柜>从勇者大人那里拿钱是不可能的！ 旅馆的名气也会提升，所以请不要在意的住下来吧♥",""
"说是免费呢！",""
"可以的吗・・・",""
"~ ~ 敌人的攻击 ~~~~",""
"慢慢的用手玩弄着！",""
"\n<穆>不要那么高兴。会被当成不入流的家伙喔。",""
"手交 2",""
"\n<女掌柜>不用担心吃饭的事情♥明天的晚饭就交给我吧♥免费♥是免费的♥唔呼呼♥",""
"用手撸动着！",""
"\n<\n[1]>・・・！",""
"手交 3",""
"\n<穆>所以说不要露出那么高兴的脸啊···唔-姆。",""
"用手激烈的撸动着！",""
"手交 4",""
"用手胡乱的撸动着！",""
"手交 5折磨着",""
"用手指责备着肉棒...",""
"手用力握着撸",""
"紧紧地握着肉棒并粗暴的撸动着！！",""
"\n<穆>就听你的吧，不过，这个村子里有能做的工作的话我会帮你的。",""
"像要捏碎一样用手撸动着",""
"\n<女掌柜>那稍后请给我留个签名呢♥被勇者认可的旅馆！开心开心 ♥",""
"\n<穆>唔-姆···感觉将来会受欢迎的喔。···",""
"\n<女掌柜>勇者大人住过的勇者之间会成为这个旅馆的特色呢♥",""
"慢慢的用脚玩弄着！",""
"足交 2",""
"用脚撸动着！",""
"足交 3",""
"用脚激烈的撸动着！",""
"足交 4",""
"用脚胡乱的撸动着！",""
"亲吻了！",""
"亲吻汲取",""
"的亲吻汲取！",""
"激烈地接吻",""
"贪婪的咬着嘴唇！",""
"把舌头伸了进去",""
"把长长的舌头伸到了喉咙深处！",""
"腋下交",""
"用腋下夹住了肉棒。",""
"腋下交 2",""
"用腋下撸动着肉棒！",""
"腋下交 3",""
"被充满汗水的腋下撸动着！",""
"腋下夹紧",""
"用腋下狠狠地夹紧着！",""
"荷尔蒙",""
"的荷尔蒙攻击！",""
"诱惑",""
"展示着她的身姿！",""
"把腋下压到了你的脸上！",""
"用胸夹住了你的脸！",""
"来回舔",""
"来回舔舐着你的脸！",""
"微弱腰震",""
"慢慢的摆动着腰！",""
"中等腰震",""
"来回摆动着腰！",""
"腰部紧固",""
"紧紧地收紧了阴道！",""
"用力腰震",""
"胡乱的用力摆着腰！！",""
"吸尽",""
"吸尽了！",""
"强力腰震",""
"激烈的摆着腰！",""
"插入大伤害",""
"慢慢的坐了下来。",""
"插入",""
"诱惑腰震",""
"诱惑着摆动着腰。",""
"阴道反动伤害",""
"的阴道紧紧的缠绕住了...",""
"慢扭腰",""
"慢慢的用小穴上下的撸动着...",""
"诱惑（胸部",""
"露出乳房诱惑着...",""
"诱惑2（身体",""
"的身体无法移开视线...",""
"诱惑 3 （螺旋）",""
"下流的扭动着身子...",""
"诱惑4（诱惑）",""
"的诱惑使你兴奋了起来...",""
"诱惑手交",""
"用手撸动空气诱惑着...",""
"什么也不做",""
"呼吸急促起来了...",""
"什么也不做2",""
"脸红了...",""
"胸揉",""
"开始揉起了胸！",""
"玩弄乳头",""
"玩弄着乳头！",""
"舔小腹",""
"舔着小腹！",""
"抱紧",""
"紧紧地抱着你！",""
"用嘴吸吮着肉棒！",""
"口交2",""
"的口交攻击！",""
