"ベルーチェ",""
" <enemy:157>",""
"ーーーーー基本変更点ーーーーー",""
"\n<\n[3]>捕まえましたわ♥
んー♥ちゅぅっ♥ちゅっ♥
ほぉら♥戦うのなんてバカバカしくなってきたでしょう？","\n<\n[3]>I caught you♥
Mmm♥ Smoooch♥ Smooch♥
Hooora♥ Isn't all this fighting just so silly?"
"\n<\n[3]>いいのですよ♥
わたくしに全て身をゆだねて・・・♥
さぁ♥堕とされなさい♥","\n<\n[3]>It's ok♥
Just leave everything to me...♥
Now♥ Submit to me♥"
"\n<\n[3]>うふふ♥果ててしまったのね♥
キスだけで絶頂させられるなんて・・・♥
くす♥","\n<\n[3]>Ufufu♥ You've reached your end♥
To think you'd climax simply from a kiss...♥
Hee♥"
"\n<\n[3]>あらあら♥こんなに硬くして♥
ここを捕まえられたらもうお終い♥
逃げる気なんて起きないでしょう？","\n<\n[3]>My goodness♥ You've gotten so hard♥
It's all over if I capture you now♥
You don't want to escape now, do you?"
"\n<\n[3]>我慢なんてしなくていいのです。
わたくしにペニスを握られて
30秒耐えられる方はいませんので。くすくす♥","\n<\n[3]>There's no need to resist.
Nobody has ever lasted more than 30 seconds
with their penis gripped in my hand. Tee hee♥"
"\n<\n[3]>ほら、あっという間に射精してしまいました♥
くす♥足がガクガクしますか？
でもまだ倒れてはいけませんよ。","\n<\n[3]>Hora, and you ejaculated just like that♥
Hee♥ Are your legs feeling shaky?
Don't fall over quite yet."
"\n<ベルーチェ>く・・・！
わ、わたくしの負けです。
好きにしてくださいまし。","\n<Velvet>Kuh...!
Y-you beat me.
Please have your way with me."
"\n<ベルーチェ>まさか\n[1]様がここまでのお方だとは
思っておりませんでした。
なんてお強いお方・・・♥","\n<Velvet>I never thought that you'd get this far, \n[1].
You're so strong...♥"
"\n<ベルーチェ>でも、セックスの方はどうでしょうか？
ねぇ、\n[1]様・・・
最後にわたくしを抱いてみませんか？","\n<Velvet>But, why not have a bit of sex?
Hey, \n[1]...
Let's finish things off with a tight embrace..."
"\n<ベルーチェ>まさかサキュバスハンターが・・・
淫魔との戦いを生業としている方が
性行為で負けるなど、あり得ませんわよね？うふふ♥","\n<Velvet>You're a succubus hunter...
You dedicate your life to battling succubi.
There's no way you'd lose in sex, no? Ufufu♥"
"\n<ベルーチェ>ほら、もうそんなに硬くして・・・♥
そちらの方は、戦う準備が出来ているようですが。
くすくす♥","\n<Velvet>Look, you're already so hard...♥
You look like you're about ready to tangle.
Tee hee♥"
"\n<ベルーチェ>それとも、わたくしの膣内で
精液を搾ってもらいたくて大きくしているのでしょうか？
どちらにせよ、選択権は\n[1]様にありますわ♥","\n<Velvet>Or did you swell up so big because you 
want my vagina to squeeze you dry?
Either way, the choice is yours, \n[1]♥"
"\n<ベルーチェ>さぁ、セックスで勝負なさいますか？
それとも、わたくしに甘やかされながらたっぷり愛してほしいですか？
どちらにします？くすくす♥","\n<Velvet>Now, would you like to have sex?
Or would you prefer for me to love and pamper you?
Which do you prefer? Tee hee♥"
"\C[10]誘惑を振り払う","\C[10]Shake off the temptation"
"\C[10]誘惑に負ける","\C[10]Succumb to the temptation"
"\C[10]甘やかされたい","\C[10]I want to be pampered"
"\C[10]勝負する","\C[10]I want to have sex"
"<random><timer>",""
"\n<ベルーチェ>く・・・ハンターの癖に逃げるのですね・・・
いくじなし・・・はぁ、はぁ・・・
あぅ、もうダメ・・・身体が・・・","\n<Velvet>Kuh... So you flee from your hunter's instincts...
You coward... Hah, hah...
Ah, no more... My body..."
"\n<ベルーチェ>迷っているのですか？
ではこちらから挿入させていただきます♥","\n<Velvet>Are you lost?
You put it in right here♥"
"ボス攻撃",""
"<enemy:132>",""
"まわし蹴り斬撃",""
"nwayAim 3 0.4 0 0.15 60 3 21 785",""
"nwayAim 7 0.3 0 0.15 60 3 21 785",""
"パンチ",""
