"イベント実行","Event Trigger"
"\n<リリー>どこにも入口が無い建物があるとは思っていたけど・・・
こんなところから入るなんて。
全然気が付かなかったわ。","\n<Lily>I thought that this building didn't even have an entrance...
but to enter through here of all places, I didn't even notice."
"\n<アーコ>あのさぁ、もう少し興味持とうよ。
ここの暮らし長いんだしさぁ。","\n<Ako>Come on now, at least have a little interest.
You've been living here for a long time now..."
"\n<リリー>淫魔は家に興味なんか持たないのよ。
興味があったら、あんたに屋敷のお宝なんてあげてないけど。","\n<Lily>Succubi don't care about houses, you know?
Even if we do、We won't give you any of the mansion's treasure though..."
"\n<アーコ>ん・・・重い！
せーので開けるよ。","\n<Ako>Hnnggh...! This is heavy!
Let's all lift it together."
"\n<アーコ>せーの！","\n<Ako>Heave, ho!"
"ライム","Lime"
"シィナ","Shina"
"ロメリア/アルス","Romeria/Als"
"てかせ","Shackles"
"ベルーチェ","Velvet"
