"オープニングイベント","Opening Event"
"startTopFix","startTopFix"
"主人公を選択してください。","Please choose a protagonist."
"男主人公","Male Protagonist"
"女主人公","Female Protagonist"
"ロメリア","Meria"
"アルス","Alsto"
"主人公の顔グラを表示しますか？
（設定はオプションでいつでも変更できます）","Should the protagonist's face be displayed?
(You can always change this option later.)"
"表示する","Display"
"表示しない","Do not display"
"女主人公のボイスをONにしますか？
（被ダメージ時、射精時に音声が出ます）","Would you like to turn on the female protagonist's voice?
(Voices will play when taking damage or ejaculating.)"
"ボイスON","Voices ON"
"ボイスOFF","Voices OFF"
"・・・","..."
