"<Darkness:20>","<Darkness:20>"
"アイテム","Items"
"002オーク","002オーク"
" <enemy:100>"," <enemy:100>"
"ーーーーーー敵から受けるダメージーーーーーー",
"ーーーーーーーー被ダメエフェクトーーーーーーー",
"灯り 3 1 255 0.1",
"ーーーーーー基礎ヤラレモーションーーーーーー",
"0ちーんｗ 1倒れ 2ばたんきゅ 3溶ける 4燃える
5射精 6吹っ飛ばす 7逃げこけ　8潰れる",
"29パーブル","29パーブル"
" <enemy:105>"," <enemy:105>"
"30ムダボーン","30ムダボーン"
" <enemy:106>"," <enemy:106>"
"8オーク","8オーク"
"9ガード","9ガード"
"<enemy:146>","<enemy:146>"
"10ビッグベア","10ビッグベア"
"<enemy:111><cw:1><ch:1.5><CG拡大率:A,300,300>","<enemy:111><cw:1><ch:1.5><CG拡大率:A,300,300>"
"11大夢喰い","11大夢喰い"
"<enemy:108><cw:1><ch:1.5><CG拡大率:A,200,200>","<enemy:108><cw:1><ch:1.5><CG拡大率:A,200,200>"
"12島喰い","12島喰い"
"<enemy:112><cw:1><ch:1.5><CG拡大率:A,500,500>","<enemy:112><cw:1><ch:1.5><CG拡大率:A,500,500>"
"13コープス","13コープス"
"<enemy:113>","<enemy:113>"
"14おむつライオン","14おむつライオン"
"<enemy:114>","<enemy:114>"
"15触手","15触手"
"<enemy:115>","<enemy:115>"
"EV016","EV016"
"シープ誘惑","シープ誘惑"
"<enemy:99><CG不透明度:1,255><CG不透明度:2,100>","<enemy:99><CG不透明度:1,255><CG不透明度:2,100>"
"ーーーーー基本変更点ーーーーー","ーーーーーBasic Changesーーーーー"
"シープ","シープ"
"\n<\n[3]>捕まえた♥
ちゅーしよ♥ちゅー♪","\n<\n[3]>捕まえた♥
ちゅーしよ♥ちゅー♪"
"クラスタ誘惑","クラスタ誘惑"
"クラスタ","クラスタ"
"\n<\n[3]>ほら♥ここ舐めていいよ♥
いっぱいペロペロして♥","\n<\n[3]>Hora♥You can lick here♥
Lick me a lot♥"
"キエリ誘惑","キエリ誘惑"
"キエリ","キエリ"
"\n<\n[3]>ほーら触ってほしいだろ？
おねだり出来たら滅茶苦茶に扱いてやるぞ♥","\n<\n[3]>ほーら触ってほしいだろ？
おねだり出来たら滅茶苦茶に扱いてやるぞ♥"
"リリス誘惑","リリス誘惑"
"リリス","リリス"
"\n<\n[3]>ボクのおっぱいが一番好きだよネ♥
ホーラ♥ここでギブアップしちゃいなヨ♥
あははは♥","\n<\n[3]>ボクのおっぱいが一番好きだよネ♥
ホーラ♥ここでギブアップしちゃいなヨ♥
あははは♥"
"<enemy:115><CG不透明度:1,255><CG不透明度:2,100>","<enemy:115><CG不透明度:1,255><CG不透明度:2,100>"
"\n<\n[3]>ほーら捕まえた♥
ちんこ触ってほしかったらどうすればいいか分かるだろ？
くすくす♥","\n<\n[3]>ほーら捕まえた♥
ちんこ触ってほしかったらどうすればいいか分かるだろ？
くすくす♥"
"\n<\n[3]>ボクが一番好きデショ？
ちゅーして♥ちゅー♥
おっぱいも触っていいヨ♥","\n<\n[3]>ボクが一番好きデショ？
ちゅーして♥ちゅー♥
おっぱいも触っていいヨ♥"
"\n<\n[3]>頑張っておちんちん扱いてるところ私に見せて♥
ほら一緒に♪
いっちに♥いっちに♥","\n<\n[3]>頑張っておちんちん扱いてるところ私に見せて♥
ほら一緒に♪
いっちに♥いっちに♥"
"\n<\n[3]>私の目を見て♥
見つめ合いながらちゅーするの♥","\n<\n[3]>私の目を見て♥
見つめ合いながらちゅーするの♥"
"痺れ罠",
"\>\C[26]罠を回避した！","\>\C[26]罠を回避した！"
"\>\C[14]痺れ罠だ！\C[0]
\>50歩の間攻撃を封じられてしまった！","\>\C[14]痺れ罠だ！\C[0]
\>50歩の間攻撃を封じられてしまった！"
"夢喰い","夢喰い"
"ナイトベア","ナイトベア"
" <enemy:109>"," <enemy:109>"
"28ナース","28ナース"
"<enemy:116>","<enemy:116>"
"29コープスG","29コープスG"
"<enemy:117>","<enemy:117>"
"EV030","EV030"
"誘惑イベテンプレート","誘惑イベテンプレート"
"暗闇の中でナースが手招きしている・・・","暗闇の中でナースが手招きしている・・・"
"\n<ナース>うふふ・・・♥
おいで・・・♥","\n<ナース>うふふ・・・♥
おいで・・・♥"
"\n<ナース>私の胸を見て・・・♥
柔らかそうでしょう・・・♥","\n<ナース>私の胸を見て・・・♥
柔らかそうでしょう・・・♥"
"\n<ナース>さぁ・・・
私と気持ちいいことしましょう・・・♥","\n<ナース>さぁ・・・
私と気持ちいいことしましょう・・・♥"
"\n<ナース>何もかも忘れて・・・","\n<ナース>何もかも忘れて・・・"
"近寄る","近寄る"
"離れる","Back away"
"\n<ナース>それでいいの・・・♥
くすくす・・・♥","\n<ナース>それでいいの・・・♥
くすくす・・・♥"
"ダメだ・・・こんなあからさまな誘惑に乗っては・・・","ダメだ・・・こんなあからさまな誘惑に乗っては・・・"
"32ニャントム","32ニャントム"
"<enemy:118>","<enemy:118>"
"33ミャウラージ","33ミャウラージ"
"<enemy:119><cw:1><ch:1.5><CG拡大率:A,400,400>","<enemy:119><cw:1><ch:1.5><CG拡大率:A,400,400>"
"34デスコッコ","34デスコッコ"
"<enemy:120>","<enemy:120>"
"35ドゥードゥルドゥー","35ドゥードゥルドゥー"
"<enemy:121><cw:1><ch:1.5><CG拡大率:A,400,400>","<enemy:121><cw:1><ch:1.5><CG拡大率:A,400,400>"
"36コレクター","36コレクター"
"<enemy:124>","<enemy:124>"
"37スイーパー","37スイーパー"
"<enemy:122>","<enemy:122>"
"38イレイザー","38イレイザー"
"<enemy:123><cw:1><ch:1.5><CG拡大率:A,400,400>","<enemy:123><cw:1><ch:1.5><CG拡大率:A,400,400>"
"39ズドーン","39ズドーン"
"40ボーン","40ボーン"
"猫シャル","猫シャル"
"人シャル","人シャル"
"エイミー","エイミー"
"ノノ","ノノ"
"46リーパー","46リーパー"
"<enemy:125><cw:1><ch:1.5><CG拡大率:A,400,400>","<enemy:125><cw:1><ch:1.5><CG拡大率:A,400,400>"
"47グリーヴァ","47グリーヴァ"
"<enemy:126><cw:1><ch:1.5><CG拡大率:A,500,500>","<enemy:126><cw:1><ch:1.5><CG拡大率:A,500,500>"
"48アトラクター","48アトラクター"
"<enemy:136>","<enemy:136>"
"49ストレイギア","49ストレイギア"
"<enemy:134>","<enemy:134>"
"50クルーエルギア","50クルーエルギア"
"<enemy:135><cw:1><ch:1.5><CG拡大率:A,400,400>","<enemy:135><cw:1><ch:1.5><CG拡大率:A,400,400>"
"51","51"
"<enemy:137><cw:1><ch:1.5><CG拡大率:A,400,400>","<enemy:137><cw:1><ch:1.5><CG拡大率:A,400,400>"
"52キラービー","52キラービー"
"<enemy:140>","<enemy:140>"
"53スラミー","53スラミー"
"<enemy:139>","<enemy:139>"
"54デカスラミー","54デカスラミー"
"<enemy:141><cw:1><ch:1.5><CG拡大率:A,300,300>","<enemy:141><cw:1><ch:1.5><CG拡大率:A,300,300>"
"55オーク","55オーク"
"<enemy:142>","<enemy:142>"
"56ガード長","56ガード長"
"<enemy:147>","<enemy:147>"
"\>\C[14]痺れ罠だ！\C[0]","\>\C[14]痺れ罠だ！\C[0]"
"マキサ","マキサ"
"\n<\n[3]>痺れて動けないでしょ。
れろぉ♥
ほぉら♥こんなことされても抵抗できない♥","\n<\n[3]>痺れて動けないでしょ。
れろぉ♥
ほぉら♥こんなことされても抵抗できない♥"
"\n<\n[3]>戦いの最中にこんなに勃起させちゃって。
敵の女に顔舐められて興奮してるの？
あはははは♥","\n<\n[3]>戦いの最中にこんなに勃起させちゃって。
敵の女に顔舐められて興奮してるの？
あはははは♥"
"\n<\n[3]>ん？ひょっとして出ちゃった？
まさかそんなわけないよね？
触ってもいないのに♥くくく♥","\n<\n[3]>ん？ひょっとして出ちゃった？
まさかそんなわけないよね？
触ってもいないのに♥くくく♥"
"58スラミー","58スラミー"
"スラミーガール","スラミーガール"
"立体起動","立体起動"
"<enemy:99><cw:1.3><ch:1.5>","<enemy:99><cw:1.3><ch:1.5>"
"リリーチェイス",
"リリー","Lily"
"\n<\n[3]>ほらおいでぇ♥
自分から精を捧げに来るのよ。
それが精奴隷の仕事でしょ？くすくす♥","\n<\n[3]>Come over here♥
Come offer your energy to me.
That's your job as a semen slave, no? Tee hee♥"
"\n<\n[3]>私のお尻、どう？
ふりふり♥
ここに精液いっぱいかけたいと思わない？","\n<\n[3]>What do you think of my ass?
Shake shake♥
Don't you just wanna cum all over it?"
"\n<\n[3]>もう捕まえなくても・・・ほら♥
こうやってお尻ふりふりするだけで・・・
あはっ♥逃げられないわよねぇ♥","\n<\n[3]>I don't even have to catch you... Hora♥
All I have to do is shake my butt...
Ahaa♥ You're not going anywhere♥"
"\n<\n[3]>こっち見てぇ♥あはぁ～ん♥
ほぉら♥私のお尻に食べられにおいでぇ♥
あはははは♥","\n<\n[3]>Look over here♥ Ahaaa～♥
Hey♥ Come get a sniff of my ass♥
Ahahahaha♥"
"\n<\n[3]>なぁに？
お尻見てるだけでぴゅっぴゅしちゃいそうなの？
あらあら♥","\n<\n[3]>What's this?
Are you going to cum just from looking at my ass?
My, my♥"
"\n<\n[3]>ふふ♥
すっかり出来上がっちゃったわね。
精奴隷さん♥","\n<\n[3]>Fufu♥
That's the end of that.
Little semen slave♥"
"\n<\n[3]>ちゅっ♥ちゅぅぅ♥
キスしてあげる♥
むちゅぅー♥","\n<\n[3]>Kiss♥ Smooch♥
Give me a kiss♥
Slurp-♥"
"\n<\n[3]>押し倒してキスされるとぉ、
もう逃げる気なんてなくなっちゃうわよねー♥
最初から無いのかもだけど♥","\n<\n[3]>Once I pin you down and kiss you, you're not
gonna want to run away anymore-♥
Or maybe you never wanted to in the first place♥"
"\n<\n[3]>早く逃げないといっぱいちゅーしちゃうわよ♥
されたいの？
ちゅっ♥ちゅぅぅ♥","\n<\n[3]>If you don't escape, I'll cover you in kisses♥
Do you want that?
Kiss♥ Smooch♥"
"\n<\n[3]>あんたみたいな雑魚、キスだけで十分よね♥
ちゅぅ♥ちゅっ♥ちゅっ♥ちゅぅぅう♥
ほーらこれだけでもう逃げられない♥","\n<\n[3]>For a weakling like yourself, a kiss should be enough♥
Kiss♥ Kiss♥ Kiss♥ Smoooch♥
Horaaa, you won't get away from me♥"
"\n<\n[3]>イク？ねぇ。キスだけでイっちゃう？
くちびる押し付けられて精液漏らしちゃうの？
むちゅぅぅー♥","\n<\n[3]>You're cumming? Really. Cumming from just a kiss?
Spilling your seed just from pressing lips?
Smooooch-♥"
"\n<\n[3]>ぷ♥くくく♥
まじでイった♥
やばすぎ♥","\n<\n[3]>Pu♥ Kukuku♥
You actually came♥
So pathetic♥"
"\n<\n[3]>あっは♥捕まえた♥
ここに挟まれたらあとはもう射精するしかないの。
抵抗しないで♥","\n<\n[3]>Ahaaa♥ Gotcha♥
Now that you're here, all that's left is to ejaculate.
Go on, don't resist♥"
"\n<\n[3]>太ももに挟んじゃった・・・♥
ねぇ♥逃げるのやめて射精しよ？
ほら、私のこと抱きしめて♥","\n<\n[3]>Got you between my thighs...♥
Hey♥ Just quit running and ejaculate, huh?/nHug me really tightly...♥"
"\n<\n[3]>太ももでぎゅってされるとぉ、
ムチムチであったかくて逃げたくなくなるでしょー？
くすくす♥","\n<\n[3]>Aren't my thighs so plump and warm? You can't
want to run away while you're between them. Hee hee♥"
"\n<\n[3]>ねーぇ♥
私の太ももで搾られたくなぁい？くすくす♥
逃げないでー♥","\n<\n[3]>Come now-♥
Don't you wanna get milked by my plush thighs?
Kuhuhu♥ Don't run away♥"
"\n<\n[3]>あん♥びくって膨らんだ♥
もう出そうなのね？
出しなさい♥ほら♥","\n<\n[3]>Ahn♥ It just twitched and got bigger♥
Are you gonna shoot already? Go on, shoot it out♥ Hora♥"
"\n<\n[3]>あーぁ♥
振りほどこうとすれば振りほどけたのに。
誘惑に負けちゃったわね♥","\n<\n[3]>Oh my♥
And you could have shaken me off if you tried too.
I guess you ended up losing to my seduction after all huh♥"
"\n<\n[3]>あっは♥捕まえた♥
足コキしてあげる♥
あんた踏まれるの好きでしょ？くすくす♥","\n<\n[3]>Ahaa♥ Gotcha♥
I'll give you a footjob♥ You like being stepped on, don't you? Hee hee♥"
"\n<\n[3]>やん♥もうこんなにビンビン♥
足の裏でもカチカチなの分かる♥
あははは♥","\n<\n[3]>Aha♥ You're already twitching so much♥
I can feel your throbbing erection under the sole of my foot♥
Ahahaha♥"
"\n<\n[3]>早く振りほどかないと
足なんかで射精しちゃうわよー？
そんな情けないイキ方していいのー？","\n<\n[3]>If you don't shake me off quick, you'll ejaculate
on my feet. What a pathetic way to live, don't you think?"
"\n<\n[3]>あんた、わざと捕まったでしょ。
ねぇ。ねぇねぇ♥
どーなの？ほら♥ほらどーなのよ♥","\n<\n[3]>You just got yourself caught on purpose.
Hey. Hey, hey♥ How's that feel?
Hora♥ Feels nice?♥"
"\n<\n[3]>そんな辛そうな声出しちゃって。
まさかもう射精するんじゃないでしょうね。","\n<\n[3]>Such a pained cry you let out.
I wonder if you'll ejacaulate again?"
"\n<\n[3]>ウソ。こいつ弱すぎ。
あーぁ、足コキでゲームオーバーとか。
だっさ♥","\n<\n[3]>My my. This one is so weak.
Aahh, the game ends with a footjob.
Pathetic♥"
"\n<\n[3]>く・・・う・・・
ゆ、油断したわ。
あんたがこんなに力を取り戻しているなんて。","\n<\n[3]>Kuh...ah...
You caught me off guard.
I didn't realize you'd regained so much power."
"\n<\n[3]>ちっ・・・
覚えてなさい。
絶対に許さないから・・・！","\n<\n[3]>Tsk...
Remember this.
I'm not going to forgive you...!"
"リリーの部屋は2階の左手側だったはず。
しっかり準備してから挑もう。","Lily's room is on the left side of the second floor.
Prepare yourself before challenging her."
"ポップアップ有効化","ポップアップ有効化"
"シィナ","Shina"
"\n<\n[3]>どこ行こうとしてるにゃん？
どーせアタシを探してたんだろー？
ほら、舐めろにゃ。","\n<\n[3]>Where do you think you're going-nyan?
Looking for me?
Give it a lick then-nya."
"\n<\n[3]>そんなに発情した顔してどうしたにゃ？
アタシに会いたかったんにゃぁ？
くすくす♥","\n<\n[3]>Why does your face look so turned on-nya?
Were you trying to find me-nyaa?
Tee hee♥"
"\n<\n[3]>アタシの足舐めてるだけで勃起止まらんにゃ。
ほんとマゾだし。","\n<\n[3]>You popped a boner just from licking my foot-nya.
You're such a masochist."
"\n<\n[3]>おらおら！
こうして欲しかったにゃん？
顔踏まれて興奮するマゾ奴隷♥","\n<\n[3]>Hyah!
Is this what you wanted-nyan? Masochistic semen
slave, having your face stepped on♥"
"\n<\n[3]>はぁ～？
これだけでチンポ爆発しそうにゃん。","\n<\n[3]>Huuh～?
Your cock's about to burst from just this-nyan?"
"\n<\n[3]>にゃはは♥
精奴隷らしくなってきたにゃん。
もっとご褒美あげるにゃ♥","\n<\n[3]>Nyahaha♥
You're starting to look like a true semen slave-nyan.
I'll reward you some more-nya♥"
"\n<\n[3]>アタシのことイカせられたら逃げられるにゃー？
ほーらちゃんと舐めるにゃん。
にゃははは♥","\n<\n[3]>Will I make you cum before you can run away-nya-?
Hoora, lick it up-nyan.
Nyahahaha♥"
"\n<\n[3]>アタシの匂いで頭バカにするにゃ。
あ、元々バカだったし。
にゃははは！","\n<\n[3]>My scent will turn you to a drooling idiot-nya.
Ah, but you were already a drooling idiot.
Nyahahaha!"
"\n<\n[3]>チンポびんびんで苦しそうにゃん。
ほーら、アタシをおかずにオナニーしていいにゃ。
もう諦めてチンポ気持ちよくしてやればー？","\n<\n[3]>Your dick looks painfully hard-nyan.
Hoora, go ahead and spank it to me.
Why not give up and let your cock feel good-?"
"\n<\n[3]>ひょっとしてわざと捕まったにゃぁ？
そんなにアタシに犯されたかったにゃ？
気持ちわりーにゃぁ。","\n<\n[3]>Did you just get caught on purpose-nyaa?
You wanted me to rape you that badly?
Disgusting-nyaa."
"\n<\n[3]>これだけで射精しそうになってるし。
アタシ出していいって言ってないにゃー。
出すなよ？","\n<\n[3]>You're about to cum from just this?
Well I'm ordering you not to cum yet-nyaa.
You're not going to, are you?"
"\n<\n[3]>あーあ。
勝手にお漏らしするバカチンポはおしおきにゃん。","\n<\n[3]>Aaahh.
A pathetic dick that cums without permission
deserves a punishment-nyaan."
"\n<\n[3]>いただきにゃ～ん♥
れぇろぉ～♥
じゅるるるるるるるるる♥","\n<\n[3]>Looks nya～mmy♥
Liick～♥
Sluuuuuuurpp♥"
"\n<\n[3]>じゅるるるる♥
気持ちよくて動けないにゃぁ？
そのままじっとしてろにゃ♥","\n<\n[3]>Sluuurp♥
It feels so good that you can't move?♥
Then just stay still♥"
"\n<\n[3]>ほら出せ♥
れろれろれろぉ♥
ぜーんぶ飲み干してやるし♥","\n<\n[3]>Hey, look!♥
Lick lick lick♥
I'll drink it allll up♥"
"\n<\n[3]>アタシに食べられたくて待ってたにゃ？
にゃは♥
その顔見れば分かるし♥じゅる♥","\n<\n[3]>Are you waiting for me to swallow it down?
Nyaha♥
I can tell just by looking at your face♥ Shlurrrrp♥"
"\n<\n[3]>お前の精子アタシのお腹で溶かして殺してやるにゃ。
じゅるるるる♥","\n<\n[3]>Your sperm's all gonna die when they melt in my belly.
Sluuuurp♥"
"\n<\n[3]>ごくごく・・・じゅるり♥
にゃはは！お前の負けにゃん。
飲み干してやるし♥","\n<\n[3]>Sluurp... Gulp♥
Nyahaha! That's your loss-nyan.
I'll drink it all up♥"
"\n<\n[3]>捕まえたにゃ！
にゃははは♥
ソッコー搾り取ってやるし♥","\n<\n[3]>I caught you!
Nyahaha♥
I'll wring you dry♥"
"\n<\n[3]>ちんこビンビンにしてどこ行くにゃぁ？
ほら、アタシの手とセックスしてくにゃ♥
ほらほらほらァー♥","\n<\n[3]>Where are you gonna cum?
Look, I can fuck you with my hands.
Look♥ Look♥ Look♥"
