"日記確認","Check diary"
"ここでは日記の回想、解放状況が確認できます。
チェック模様の床は第2部の解放に必要な日記です。","Here you may recall your memories, and check how far you
are from freedom. Entries on the checkered floor are
required to reach the second floor."
"回想終了","End memory"
"リリーの日記","Lily's Diary"
"リリーの日記
ミスト屋敷襲撃","Lily's Diary
Misty Mansion Attack"
"読んでみる","Read"
"やめておく","Stop"
"リリーの日記
シィナとの出会い","Lily's Diary
Meeting Shina"
"リリーの日記
ライムとの出会い","Lily's Diary
Meeting Lime"
"ライムの日記
精奴隷さんに美味しいご飯を","Lime's Diary
A delicious meal for a semen slave"
"ライムの日記
お風呂でピザ","Lime's Diary
Pizza in the bath"
"ライムの日記","Lime's Diary"
"ヒントを見る","See a hint"
"自力で探す","Search for yourself"
"浴場で入手できます。","Found in the bath house."
"答えを見る","See answer"
"浴場の左側へフックショットで飛び
暖炉の火を氷属性の攻撃で全て消してください。","Hookshot to the left side of the bath house.
Extinguish all fireplaces using ice attacks."
"ライムの日記
水かけ論","Lime's Diary
Pointless argument"
"応接室で入手できます。","Found in the parlor."
"応接室の暖炉の火を氷属性の攻撃で消し、
隠し通路から倉庫に入ってください。","Extinguish the fireplace in the parlor with an
ice attack. Enter the warehouse via the hidden passage."
"ライムの日記
見られているような・・・","Lime's Diary
Being watched…"
"ライムの日記
誘惑して脱獄","Lime's Diary
Jailbreak seduction"
"バルコニーで入手できます。","Found on the balcony."
"バルコニーの左端からプラスショットを装備したまま
フックショットを撃って煙突に引っかけてください。","From the left end of the balcony, with Plus Shot 
equipped, fire the hookshot to the chimney."
"リリーの日記
しましまはマゾ","Lily's Diary
Stripes make the masochist"
"リリーの日記
恋ってなに？","Lily's Diary
What is love?"
"リリーの日記
シィナの精奴隷","Lily's Diary
Shina's semen slave"
"リリーの日記
手配書を出そう","Lily's Diary
Calling the search"
"リリーの日記
ライム式ダイエット","Lily's Diary
Lime-style diet"
"メイド室で入手できます。","Found in the maid's room."
"右下のベッドのクマのぬいぐるみを複数回調べてください。","Examine the bear on the lower right bed multiple times."
"リリーの日記
恋愛小説","Lily's Diary
Romance novel"
"看板","看板"
"→日記
一度読むと解放
全て読むと2部シナリオが解放される","→Diaries
Read once to unlock.
Read them all to unlock part 2."
"ライムの日記
宝物","Lime's Diary
Treasure"
"ロメリアの日記
ロメリアから過去の話を聞くと解放
男主人公、SAN値が高く精力が低い状態で話しかける","Meria's Diary - Unlocked by listening to Meria's past.
As male protagonist, talk to her while SAN is high
and energy is low."
"ロメリアの日記
ふたなり淫魔に襲われて","Meria's Diary
Attacked by a futanari succubus"
"リリーの日記
知識VS直感","Lily's Diary
Knowledge VS Intuition"
"倉庫で入手できます。","Found in the warehouse."
"灯りを付けることで読めるようになります。","Read it by turning on the light."
"リリーの日記
オークはどこから","Lily's Diary
Where did these orcs come from?"
"アーコの帳簿
アーコに15000G貢ぐとアーコの近くに帳簿が出現","Ako's Ledger
The ledger will appear near Ako after giving her 15000G."
"アーコの帳簿
再会","Ako's Ledger
Reunion"
"アーコの帳簿
アーコに30000G貢ぐとアーコの近くに帳簿が出現","Ako's Ledger
The ledger will appear near Ako after giving her 30000G."
"アーコの帳簿
例のブツ","Ako's Ledger
The Usual"
"アーコの帳簿
アーコに50000G貢ぐとアーコの近くに帳簿が出現","Ako's Ledger
The ledger will appear near Ako after giving her 50000G."
"アーコの帳簿
レストランを開こう","Ako's Ledger
Opening a restaurant"
"ライムの日記
※ライム依存度が3以上でライムの部屋に出現","Lime's Diary
※Found in Lime's room when Lime's reliance is 3 or higher."
"ライムの日記
脱走者","Lime's Diary
Fugitive"
"シィナの落書き帳
※シィナ依存度が3以上でシィナの部屋に出現","Shina's Scratchpad
※Found in Shina's room when Shina's reliance is 3 or higher."
"シィナの落書き帳
猫の生き方","Shina's Scratchpad
A cat's life"
"チョコレの実験記録
淫魔の生態","Chocolat's Lab Records
Succubus ecology"
"チョコレの実験記録
機械の使い方","Chocolat's Lab Records
How to use the machine"
"チョコレの実験記録
淫魔化実験成功！","Chocolat's Lab Records
Succubus-ification success!"
"チョコレの実験記録
魔力の集め方","Chocolat's Lab Records
Collecting magic energy"
"チョコレの実験記録
創作料理","Chocolat's Lab Records
Creative cuisine"
"→第2部の日記","→2nd floor diaries"
"チョコレの実験記録
旗上げ","Chocolate's Lab Records
Raising the banner"
"→その他の日記","→Other diaries"
