"通常愛撫",""
"打撃/エフェクト",""
"打撃/炎",""
"打撃/氷",""
"打撃/雷",""
"斬撃/物理",""
"斬撃/エフェクト",""
"斬撃/炎",""
"斬撃/氷",""
"斬撃/雷",""
"刺突/物理",""
"刺突/エフェクト",""
"刺突/炎",""
"刺突/氷",""
"刺突/雷",""
"爪/物理",""
"爪/エフェクト",""
"爪/炎",""
"爪/氷",""
"爪/雷",""
"打撃/必殺技1",""
"打撃/必殺技2",""
"斬撃/必殺技1",""
"斬撃/必殺技2",""
"斬撃/必殺技3",""
"刺突/必殺技1",""
"刺突/必殺技2",""
"爪/必殺技",""
"矢/必殺技",""
"汎用/必殺技1",""
"汎用/必殺技2",""
"息",""
"花粉",""
"超音波",""
"霧",""
"歌",""
"咆哮",""
"足払い",""
"体当たり",""
"閃光",""
"回復/単体1",""
"回復/単体2",""
"回復/全体1",""
"回復/全体2",""
"治療/単体1",""
"治療/単体2",""
"治療/全体1",""
"治療/全体2",""
"蘇生1",""
"蘇生2",""
"強化1",""
"強化2",""
"強化3",""
"弱体1",""
"弱体2",""
"弱体3",""
"呪縛",""
"吸収",""
"毒",""
"暗闇",""
"沈黙",""
"睡眠",""
"混乱",""
"麻痺",""
"即死",""
"炎/単体1",""
"炎/単体2",""
"炎/全体1",""
"炎/全体2",""
"炎/全体3",""
"氷/単体1",""
"氷/単体2",""
"氷/全体1",""
"氷/全体2",""
"氷/全体3",""
"雷/単体1",""
"雷/単体2",""
"雷/全体1",""
"雷/全体2",""
"雷/全体3",""
"水/単体1",""
"水/単体2",""
"水/全体1",""
"水/全体2",""
"水/全体3",""
"土/単体1",""
"土/単体2",""
"土/全体1",""
"土/全体2",""
"土/全体3",""
"風/単体1",""
"風/単体2",""
"風/全体1",""
"風/全体2",""
"風/全体3",""
"光/単体1",""
"光/単体2",""
"光/全体1",""
"光/全体2",""
"光/全体3",""
"闇/単体1",""
"闇/単体2",""
"闇/全体1",""
"闇/全体2",""
"闇/全体3",""
"無属性/単体1",""
"無属性/単体2",""
"無属性/全体1",""
"無属性/全体2",""
"無属性/全体3",""
"銃撃/単発",""
"銃撃/連発",""
"銃撃/全体",""
"銃撃/必殺技",""
"レーザー/単発",""
"レーザー/全体",""
"光の柱1",""
"光の柱2",""
"光の弾",""
"放射線",""
"打撃/物理",""
"爆発","爆発"
"転移",""
"～よく使うもの～",""
"射精フラッシュ",""
"射精フラッシュなし",""
"射精エフェクトびちゃ",""
"射精エフェクト通常",""
"敵攻撃アニメ尺短い",""
"敵攻撃アニメ尺",""
"揉みスキル弱",""
"揉みスキル中",""
"揉みスキル強",""
"キス","キス"
"ドレインキス","ドレインキス"
"キス連打",""
"味方キス",""
"誘惑","誘惑"
"締め付け",""
"エナジードレイン","エナジードレイン"
"挿入※締め付け尺長16",""
"挿入アニメ",""
"パイ※締め付け尺長16",""
"誘惑2",""
"敵攻撃アニメ尺バキューム",""
"※締め付け尺長24",""
"丸飲み",""
"フェロモン","フェロモン"
"触手音",""
"キス必殺",""
"舐めまわし","舐めまわし"
"舐めまわし2 ",""
"舐めまわし大",""
"回復小",""
"白魔力",""
"黒魔力",""
"変身",""
"魔力が散る",""
"レベルダウン",""
"レベルアップ",""
"詠唱",""
"敵射精エフェクト",""
"敵死亡エフェクト",""
"～アクション用～",""
"斬撃/物理上から",""
"斬撃/物理下から",""
"刺突",""
"打撃",""
"ポーション","Potion"
"斬撃/横",""
"食べ物","Food"
"斬撃クロス",""
"斬撃クロス赤",""
"斧",""
"刺突出血",""
"皿割れる",""
"殴る",""
"重たい鈍器","重たい鈍器"
"3本刺さる",""
"滅多ぎり",""
"雷斬り",""
"レーザー",""
"卵","卵"
"炎","Flame"
"雷","Thunder"
"びりびり",""
"氷",""
"滅多ぎり大",""
"でかい斧",""
"銃撃/単発　小",""
"いかづち","いかづち"
"光の矢","光の矢"
"根っこ",""
"立体起動",""
"ケムリ",""
